filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S22diaD2	1	小	Name(prefix)	0.1225	0.3225	yaw	0.07600000000000001	121.795	127.356	0.2857721448822458	0.25061224489795925	127.356	127.356	127.207	127.045	126.767	125.431	124.094	122.998	122.524	122.051	121.856	121.988	122.12	122.401	122.765	123.129	122.873	122.481	122.09	123.787
S22diaD2	2	映	Name	0.3225	0.44334	iN	0.09433000000000002	134.624	180.678	0.34901	0.44334	131.184	133.039	134.792	135.944	137.096	139.759	142.64	145.951	149.546	152.926	155.871	158.746	160.498	162.25	164.041	165.842	169.885	176.032	182.009	187.458
S22diaD2	0	内	EXTRA	0.44334	0.68184	ey	0.16246000000000005	113.55	215.613	0.68184	0.51938	222.087	216.723	211.21	206.111	201.422	196.238	188.744	180.935	173.733	168.462	163.788	158.72	153.771	150.372	146.396	141.69	136.484	131.149	124.942	118.235
S22diaD2	3	卖	Verb	0.78346	0.8925	@	0.07299999999999995	113.67	118.424	0.8195	0.8720376664873857	111.976	112.615	113.253	113.8	114.174	114.549	114.95	115.391	115.831	116.317	116.853	117.39	117.781	118.05	118.318	118.261	117.993	117.724	117.117	116.343
S22diaD2	4	哒	Aspect	0.8925	0.96781	a	0.04467999999999994	108.867	114.485	0.96781	0.92313	114.716	114.508	114.32	114.135	113.95	113.764	113.58	113.4	113.221	113.041	112.862	112.496	111.69	110.883	110.076	109.27	108.497	107.759	107.021	106.283
S22diaD2	5	杂	Classifier	0.96781	1.06101	a	0.038510000000000044	114.349	114.474	1.0225	1.06101	110.841	111.499	112.158	112.817	113.476	114.134	114.364	114.387	114.409	114.431	114.454	114.472	114.455	114.439	114.422	114.406	114.389	114.434	114.53	114.626
S22diaD2	6	柚	Object	1.06101	1.21211	o	0.1188800000000001	124.663	153.989	1.09323	1.1882185626927455	122.12	125.399	127.449	129.86	132.558	134.775	136.834	138.863	141.059	144.225	146.985	148.977	150.728	152.276	153.209	153.928	153.981	153.859	152.903	151.028
S22diaD2	7	子	 Object(suffix)	1.21211	1.3425	I	0.06000000000000005	112.761	121.81	1.3425	1.2851115881410775	121.712	121.751	121.791	121.432	120.725	120.017	119.31	118.719	118.133	117.547	116.921	116.231	115.541	114.851	114.275	113.725	113.174	112.687	112.389	112.091
S22diaD2	0	嘞	Other final	1.3425	1.45606	ey	0.16246000000000005	113.55	215.613	0.68184	0.51938	222.087	216.723	211.21	206.111	201.422	196.238	188.744	180.935	173.733	168.462	163.788	158.72	153.771	150.372	146.396	141.69	136.484	131.149	124.942	118.235
S22diaNC5	1	小	Name(prefix)	0.1025	0.3125	yaw	0.07999999999999999	109.918	114.618	0.2628034398009633	0.3125	112.673	112.673	112.307	111.878	111.419	110.819	110.22	109.951	110.017	110.083	110.359	110.681	111.033	111.562	112.092	112.559	112.952	113.346	113.778	114.221
S22diaNC5	2	影	Name	0.3125	0.4425	iN	0.10253000000000001	115.801	116.827	0.34392564907770284	0.3752762519004041	115.849	115.812	115.877	115.953	116.151	116.349	116.576	116.804	116.517	116.173	116.17	116.248	116.301	116.344	116.358	116.354	116.394	116.471	116.551	116.635
S22diaNC5	3	买	Verb	0.4425	0.6025	@	0.09955000000000003	104.794	116.554	0.6025	0.50295	116.78	116.211	115.64	115.074	114.514	113.918	113.239	112.542	111.735	110.928	110.217	109.506	108.975	108.48	108.045	107.638	107.224	106.805	106.236	105.423
S22diaNC5	4	哒	Aspect	0.6025	0.65012	a	0.027490000000000014	101.02	104.367	0.65012	0.6230502821446848	104.357	104.299	104.223	104.146	104.069	103.993	103.916	103.839	103.739	103.387	103.034	102.681	102.329	101.976	101.623	101.271	100.729	99.724	98.72	97.715
S22diaNC5	5	杂	Classifier	0.65012	0.78344	a	0.060939999999999994	109.525	110.556	0.7225	0.7616815026844372	108.504	108.923	109.341	109.588	109.702	109.815	109.928	110.029	110.13	110.231	110.32	110.399	110.478	110.556	110.464	110.372	110.28	110.119	109.886	109.653
S22diaNC5	6	李	Object	0.78344	0.96315	i	0.14286999999999994	109.504	116.493	0.96315	0.9278863188343747	116.169	116.235	115.827	115.52	115.21	114.57	114.153	113.917	114.016	114.104	114.262	114.86	115.371	115.838	116.323	116.485	116.407	115.958	113.074	109.049
S22diaNC5	7	子	 Object(suffix)	0.96315	1.10429	I	0.07179000000000002	92.552	100.715	1.098130998275573	1.0325	101.622	101.223	100.823	100.37	99.898	99.426	99.079	98.776	98.473	98.057	97.605	97.153	96.379	95.511	94.643	93.955	93.316	92.677	92.632	92.732
S22diaA2	1	小	Name(prefix)	0.28287	0.4725	yaw	0.09955999999999998	142.642	145.944	0.4725	0.43106815322062864	143.375	143.341	143.236	143.052	142.768	142.795	143.071	143.633	144.333	144.958	145.561	145.775	145.936	145.601	145.259	144.869	144.442	143.908	143.429	143.045
S22diaA2	2	英	Name	0.4725	0.7125	iN	0.17361000000000004	112.065	175.055	0.5494282664774155	0.6832004483194494	114.109	112.094	113.125	117.162	117.845	119.306	122.303	127.047	131.72	138.352	145.491	152.894	159.415	164.284	168.723	172.703	174.143	174.764	171.463	163.499
