"idx","boundary","rhyme","case","participant","dia","tone","Time","FocusCon","F0_semi","underfocus","F0_semi_scale"
1,0,"yaw","Name(prefix)","S2","dia","T1",9,"F5_1",1.69485759533786,"0",1.99868359299786
1,0,"yaw","Name(prefix)","S2","dia","T1",9,"F2_5",-0.329985448456061,"0",-1.85058334842629
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F1",3.59515556611586,"0",0.102359621343969
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F5",5.37440045626897,"0",2.20688432214425
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F2",4.96564287915467,"0",0.237185906566286
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F2_1",1.37048731303881,"0",0.134826285222317
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F5_1",1.77924489015311,"0",2.10452470080028
1,0,"yaw","Name(prefix)","S2","dia","T1",10,"F2_5",-0.408757577114295,"0",-1.96969841557796
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F1",3.56672575638869,"0",0.0619882566939389
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F5",5.46957016529126,"0",2.31715415943576
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F2",4.95186448011993,"0",0.199970994058122
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F2_1",1.38513872373124,"0",0.137982737364184
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F5_1",1.90284440890257,"0",2.25516590274182
1,0,"yaw","Name(prefix)","S2","dia","T1",11,"F2_5",-0.517705685171324,"0",-2.11718316537764
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F1",3.53966234903647,"0",-0.0084729608691001
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F5",5.56275282554669,"0",2.41085009595531
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F2",4.94936800628491,"0",0.171160047040718
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F2_1",1.40970565724844,"0",0.179633007909818
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F5_1",2.02309047651022,"0",2.41932305682441
1,0,"yaw","Name(prefix)","S2","dia","T1",12,"F2_5",-0.613384819261785,"0",-2.23969004891459
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F1",3.51432563123887,"0",-0.0925297408514085
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F5",5.62351830935213,"0",2.45494355380553
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F2",4.9537094685609,"0",0.14737448738089
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F2_1",1.43938383732203,"0",0.239904228232299
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F5_1",2.10919267811326,"0",2.54747329465694
1,0,"yaw","Name(prefix)","S2","dia","T1",13,"F2_5",-0.669808840791238,"0",-2.30756906642464
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F1",3.48906988268883,"0",-0.177083927679439
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F5",5.68407125500856,"0",2.50014489166071
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F2",4.86765429077087,"0",0.0484290442001472
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F2_1",1.37858440808204,"0",0.225512971879586
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F5_1",2.19500137231973,"0",2.67722881934015
1,0,"yaw","Name(prefix)","S2","dia","T1",14,"F2_5",-0.816416964237688,"0",-2.45171584746057
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F1",3.48658952853056,"0",-0.233153829339277
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F5",5.77114139500162,"0",2.53447333359166
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F2",4.70107860483584,"0",-0.111556970800224
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F2_1",1.21448907630528,"0",0.121596858539053
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F5_1",2.28455186647106,"0",2.76762716293094
1,0,"yaw","Name(prefix)","S2","dia","T1",15,"F2_5",-1.07006279016578,"0",-2.64603030439188
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F1",3.50571449235301,"0",-0.279604225296609
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F5",5.8801126643637,"0",2.57086288544018
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F2",4.50005146267686,"0",-0.31801894381054
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F2_1",0.994336970323844,"0",-0.0384147185139316
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F5_1",2.37439817201069,"0",2.85046711073679
1,0,"yaw","Name(prefix)","S2","dia","T1",16,"F2_5",-1.38006120168684,"0",-2.88888182925072
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F1",3.52481835211596,"0",-0.322037585513735
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F5",5.98594868922703,"0",2.61239063566329
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F2",4.25479256974425,"0",-0.586312903315523
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F2_1",0.729974217628294,"0",-0.264275317801788
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F5_1",2.46113033711107,"0",2.93442822117702
1,0,"yaw","Name(prefix)","S2","dia","T1",17,"F2_5",-1.73115611948277,"0",-3.19870353897881
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F1",3.54178188142044,"0",-0.345743727235881
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F5",6.03933855860347,"0",2.62583971531608
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F2",4.11809682939634,"0",-0.750228383312987
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F2_1",0.5763149479759,"0",-0.404484656077106
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F5_1",2.49755667718303,"0",2.97158344255196
1,0,"yaw","Name(prefix)","S2","dia","T1",18,"F2_5",-1.92124172920713,"0",-3.37606809862907
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F1",3.55708191548122,"0",-0.358957878472226
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F5",6.09266589743118,"0",2.63440870119358
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F2",4.18777069299444,"0",-0.7007581465341
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F2_1",0.630688777513225,"0",-0.341800268061874
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F5_1",2.53558398194996,"0",2.99336657966581
1,0,"yaw","Name(prefix)","S2","dia","T1",19,"F2_5",-1.90489520443674,"0",-3.33516684772768
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F1",3.5724859762025,"0",-0.36015728911594
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F5",6.12322446984811,"0",2.60627482954774
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F2",4.22935028557865,"0",-0.679571258547813
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F2_1",0.656864309376156,"0",-0.319413969431872
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F5_1",2.55073849364562,"0",2.96643211866368
1,0,"yaw","Name(prefix)","S2","dia","T1",20,"F2_5",-1.89387418426946,"0",-3.28584608809555
2,0,"yin","Name","S2","dia","T1",1,"F1",3.56884197821778,"0",0.0522325153456271
2,0,"yin","Name","S2","dia","T1",1,"F5",6.1347840798196,"0",2.77800764077685
2,0,"yin","Name","S2","dia","T1",1,"F2",4.19162695333981,"1",0.823168036967453
2,0,"yin","Name","S2","dia","T1",1,"F2_1",0.622784975122031,"0",0.770935521621826
2,0,"yin","Name","S2","dia","T1",1,"F5_1",2.56594210160182,"0",2.72577512543122
2,0,"yin","Name","S2","dia","T1",1,"F2_5",-1.94315712647979,"0",-1.9548396038094
2,0,"yin","Name","S2","dia","T1",2,"F1",3.54955128081637,"0",0.147387564041724
2,0,"yin","Name","S2","dia","T1",2,"F5",6.16364938151984,"0",2.84413592604237
2,0,"yin","Name","S2","dia","T1",2,"F2",4.12857149250553,"1",1.04745399085654
2,0,"yin","Name","S2","dia","T1",2,"F2_1",0.579020211689155,"0",0.900066426814812
2,0,"yin","Name","S2","dia","T1",2,"F5_1",2.61409810070347,"0",2.69674836200065
2,0,"yin","Name","S2","dia","T1",2,"F2_5",-2.03507788901431,"0",-1.79668193518584
2,0,"yin","Name","S2","dia","T1",3,"F1",3.5336555977115,"0",0.365093984917215
2,0,"yin","Name","S2","dia","T1",3,"F5",6.20579733827205,"0",2.95251147263304
2,0,"yin","Name","S2","dia","T1",3,"F2",4.00394572561221,"1",1.17872176657889
2,0,"yin","Name","S2","dia","T1",3,"F2_1",0.470290127900707,"0",0.813627781661676
2,0,"yin","Name","S2","dia","T1",3,"F5_1",2.67214174056055,"0",2.58741748771582
2,0,"yin","Name","S2","dia","T1",3,"F2_5",-2.20185161265984,"0",-1.77378970605415
2,0,"yin","Name","S2","dia","T1",4,"F1",3.52234311475362,"0",0.689063884086401
2,0,"yin","Name","S2","dia","T1",4,"F5",6.20145588802259,"0",3.00608590893447
2,0,"yin","Name","S2","dia","T1",4,"F2",3.84431697909069,"1",1.43045451170966
2,0,"yin","Name","S2","dia","T1",4,"F2_1",0.321973864337062,"0",0.74139062762326
2,0,"yin","Name","S2","dia","T1",4,"F5_1",2.67911277326897,"0",2.31702202484807
2,0,"yin","Name","S2","dia","T1",4,"F2_5",-2.35713890893191,"0",-1.57563139722481
2,0,"yin","Name","S2","dia","T1",5,"F1",3.50913586855445,"0",1.10047155727705
2,0,"yin","Name","S2","dia","T1",5,"F5",6.22516914586366,"0",3.1579918841585
2,0,"yin","Name","S2","dia","T1",5,"F2",3.62693693813268,"1",1.63686107906048
2,0,"yin","Name","S2","dia","T1",5,"F2_1",0.11780106957823,"0",0.536389521783436
2,0,"yin","Name","S2","dia","T1",5,"F5_1",2.71603327730921,"0",2.05752032688145
2,0,"yin","Name","S2","dia","T1",5,"F2_5",-2.59823220773098,"0",-1.52113080509802
2,0,"yin","Name","S2","dia","T1",6,"F1",3.49202222199186,"0",1.36898799578294
2,0,"yin","Name","S2","dia","T1",6,"F5",6.29872553479048,"0",3.39021379649531
2,0,"yin","Name","S2","dia","T1",6,"F2",3.35652390685339,"1",1.7464038196721
2,0,"yin","Name","S2","dia","T1",6,"F2_1",-0.135498315138472,"0",0.377415823889164
2,0,"yin","Name","S2","dia","T1",6,"F5_1",2.80670331279862,"0",2.02122580071237
2,0,"yin","Name","S2","dia","T1",6,"F2_5",-2.94220162793709,"0",-1.64380997682321
2,0,"yin","Name","S2","dia","T1",7,"F1",3.46377723648035,"0",1.6397999566422
2,0,"yin","Name","S2","dia","T1",7,"F5",6.32621627550164,"0",3.59544116825845
2,0,"yin","Name","S2","dia","T1",7,"F2",3.03132495948176,"1",1.76825433790554
2,0,"yin","Name","S2","dia","T1",7,"F2_1",-0.432452276998587,"0",0.128454381263339
2,0,"yin","Name","S2","dia","T1",7,"F5_1",2.86243903902129,"0",1.95564121161624
2,0,"yin","Name","S2","dia","T1",7,"F2_5",-3.29489131601988,"0",-1.82718683035291
2,0,"yin","Name","S2","dia","T1",8,"F1",3.40809792840413,"0",1.88256805166921
2,0,"yin","Name","S2","dia","T1",8,"F5",6.3722706785579,"0",3.82795534020575
2,0,"yin","Name","S2","dia","T1",8,"F2",2.70706827450471,"1",1.66620503569864
2,0,"yin","Name","S2","dia","T1",8,"F2_1",-0.701029653899426,"0",-0.216363015970572
2,0,"yin","Name","S2","dia","T1",8,"F5_1",2.96417275015377,"0",1.94538728853654
2,0,"yin","Name","S2","dia","T1",8,"F2_5",-3.66520240405319,"0",-2.16175030450711
2,0,"yin","Name","S2","dia","T1",9,"F1",3.35378642979245,"0",2.0335036177314
