filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
S10dia1A1	4	咗	Aspect	0.72635	0.8525	o	0.06779000000000002	112.827	123.416	0.8502063245803777	0.7858333333333333	123.416	122.366	121.12	119.909	119.001	118.238	117.468	116.484	115.294	113.807
S10dia1A1	5	间	Object	0.8525	1.06758	an	0.13517999999999997	115.909	127.64	1.0603682987502066	0.9358333333333333	127.64	127.628	126.206	124.662	123.441	122.424	119.65	118.96	118.836	116.538
S10dia1A1	6	铺	Object	1.06758	1.3917	ow	0.2213099999999999	97.142	113.3	1.2844825946404794	1.17039	113.341	104.32	102.154	99.962	97.281	97.409	100.28	102.482	103.4	106.281
S10dia1E2	1	阿	Name(prefix)	0.2425	0.35835	a	0.11585000000000001	108.325	127.99	0.2882767903042903	0.265467246672777	129.614	127.036	127.662	116.242	108.683	113.422	112.298	111.637	111.226	111.086
S10dia1E2	2	永	Name	0.35835	0.59374	iN	0.18087000000000003	107.257	113.105	0.4716514064957882	0.4171356719071201	112.845	111.6	108.543	107.33	107.593	109.486	111.489	112.406	112.472	111.64
S10dia1E2	3	买	Verb	0.59374	0.7905	ay	0.13495000000000001	107.521	111.87	0.727585039066843	0.658790731983818	111.705	110.679	109.502	108.615	108.264	107.638	107.901	108.601	109.396	109.894
S10dia1E2	4	咗	Aspect	0.7905	0.93716	o	0.05466000000000004	120.588	123.229	0.8825	0.8969938915325852	116.484	120.406	123.161	123.087	123.069	123.168	123.194	123.098	122.527	121.275
S10dia1E2	5	部	Modifier	0.93716	1.10821	ow	0.10185	106.561	120.824	1.079593272397446	1.00636	120.443	116.81	114.23	113.513	111.485	109.263	107.791	106.588	107.047	109.142
S10dia1E2	6	新	Object	1.10821	1.3325	@n	0.12863000000000002	117.016	127.664	1.2647192897831552	1.20387	129.505	125.659	120.555	119.095	118.086	117.309	119.747	120.918	121.166	121.06
S10dia1E2	7	车	Object	1.3325	1.58837	E	0.15172000000000008	120.704	132.513	1.5044536305422365	1.42665	133.033	128.054	126.2	124.231	122.092	120.707	121.391	122.636	124.831	126.044
S10dia1A2	1	阿	Name(prefix)	0.3225	0.46442	a	0.09192	110.867	117.116	0.3725	0.3829132260810261	109.883	116.673	113.731	113.111	112.004	111.337	111.028	111.208	112.315	113.678
S10dia1A2	2	英	Name	0.46442	0.7025	iN	0.17307000000000006	130.739	141.109	0.7025	0.6213025944743863	134.321	136.308	137.119	138.623	139.067	141.1	140.631	139.368	136.282	132.903
S10dia1A2	3	开	Verb	0.7025	0.90503	oy	0.12253000000000003	117.337	142.53	0.90503	0.7987178165224655	140.151	142.152	141.734	138.996	135.53	131.264	126.98	123.312	119.667	117.56
S10dia1A2	4	咗	Aspect	0.90503	1.0425	o	0.07662000000000002	112.046	114.93	1.0178053828113067	0.9840144937254158	113.392	113.959	114.906	114.706	113.787	112.759	112.097	112.046	112.122	112.24
S10dia1A2	5	间	Object	1.0425	1.23864	an	0.13447999999999993	111.003	129.878	1.2291343872839582	1.1170044580323126	129.605	129.828	128.943	126.351	123.77	120.747	116.859	113.259	113.029	111.246
S10dia1A2	6	铺	Object	1.23864	1.51898	ow	0.19335999999999998	97.384	111.627	1.4310997581142098	1.32562	113.371	108.556	105.245	102.159	99.934	97.912	97.936	98.157	98.922	98.372
