filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaC1	3	买	Verb	0.7525	0.87388	@y	0.09228999999999998	138.951	141.379	0.78700501045382	0.8553649942787488	139.201	138.957	138.965	139.325	139.774	140.268	140.776	140.805	140.662	140.593	140.555	140.564	140.597	140.667	140.758	140.969	141.257	140.964	140.247	139.859
S2diaC1	4	了	Aspect	0.87388	0.96432	o	0.05163999999999991	113.278	136.766	0.9511153628117913	0.90268	137.478	136.29	135.087	133.884	132.681	131.556	130.454	129.353	128.262	127.232	126.203	125.174	123.879	122.32	120.761	119.203	117.628	116.051	114.474	113.278
S2diaC1	5	把	Classifier	0.96432	1.1125	a	0.08836	106.424	110.354	1.1064681997946082	1.0261153628117914	110.354	109.875	109.008	108.117	107.193	106.567	106.604	106.72	107.181	107.61	107.593	107.575	107.447	107.313	107.517	107.795	107.47	106.884	106.578	106.478
S2diaC1	6	椅	Object	1.1125	1.42166	i	0.3091599999999999	109.198	158.798	1.1125	1.385293771888639	107.018	111.767	113.267	111.883	112.162	114.378	116.487	118.557	120.942	124.723	128.448	133.347	137.076	142.117	147.776	150.646	153.673	157.318	158.394	150.893
S2diaC1	7	子	Object(suffix)	1.42166	1.59163	I	0.05270000000000019	89.614	103.574	1.5886153628117914	1.53893	104.861	103.655	102.855	102.084	101.314	100.622	100.062	99.502	98.942	97.925	96.807	95.689	94.531	93.257	91.983	90.709	90.188	89.987	89.786	89.614
S2diaNC1	1	小	Name(prefix)	0.25188	0.43653	yaw	0.028260000000000007	155.275	162.36	0.40653	0.37933319160997736	162.36	162.18	161.451	160.722	159.994	159.265	158.536	157.808	157.318	156.978	156.639	156.3	155.961	155.621	155.282	155.176	155.075	154.973	154.872	154.771
S2diaNC1	2	影	Name	0.43653	0.62049	yin	0.17396	159.504	172.286	0.6145370509926915	0.5183037571323502	161.128	163.755	163.331	163.594	164.348	167.778	170.46	171.461	172.014	171.57	170.154	168.163	166.649	167.19	166.713	165.163	163.341	161.672	160.389	159.648
S2diaNC1	3	买	Verb	0.62049	0.73483	@y	0.06808999999999998	160.956	165.281	0.73483	0.696535028500031	160.956	161.023	162.249	163.474	164.391	164.59	164.789	164.959	165.105	165.251	165.051	164.762	164.458	163.822	163.185	162.561	161.968	161.374	160.466	159.282
S2diaNC1	4	了	Aspect	0.73483	0.8072	o	0.03400000000000003	131.657	142.703	0.7972	0.7632	143.142	142.575	142.393	142.211	142.029	141.848	141.611	141.137	140.663	140.188	139.714	139.24	138.179	136.833	135.486	134.139	132.793	131.532	130.734	129.937
S2diaNC1	5	把	Classifier	0.8072	0.9525	a	0.09021999999999997	104.155	122.37	0.9523078291572068	0.8788940543055083	120.256	120.256	121.264	122.281	122.118	121.842	121.046	120.146	119.185	118.204	116.792	115.176	113.623	112.113	110.485	108.75	107.491	106.83	106.015	104.929
S2diaNC1	6	椅	Object	0.9525	1.18031	i	0.22780999999999996	105.553	170.386	0.9525	1.1606442897363607	104.348	106.636	112.579	115.737	113.092	114.214	118.137	123.078	125.695	127.983	131.545	136.265	140.849	147.948	153.055	156.426	162.22	168.124	170.384	169.596
S2diaNC1	7	子	Object(suffix)	1.18031	1.36405	I	0.022219999999999906	100.427	102.851	1.33405	1.324484146783164	99.644	99.818	99.992	100.166	100.34	100.57	100.857	101.144	101.432	101.719	102.006	102.293	102.58	102.815	102.193	101.572	100.951	100.329	99.708	99.087
S2diaNB5	1	小	Name(prefix)	0.24916	0.43138	yaw	0.05737999999999999	149.323	155.977	0.4258235816673247	0.3784580498866213	155.977	155.977	155.713	155.121	154.53	153.938	153.368	153.019	152.669	152.32	151.971	151.682	151.415	151.148	150.881	150.595	150.275	149.956	149.636	149.337
S2diaNB5	2	银	Name	0.43138	0.58072	in	0.12236000000000002	123.419	146.376	0.58072	0.45836	149.709	147.025	145.68	144.761	143.559	142.246	140.102	137.552	136.099	135.294	133.918	132.138	130.37	128.613	127.261	126.316	125.598	125.149	124.589	123.872
S2diaNB5	3	拿	Verb	0.58072	0.6898	a	0.07119999999999993	110.395	118.764	0.6898	0.6186	119.832	119.446	119.06	118.602	117.9	117.199	116.497	115.876	115.286	114.696	114.118	113.585	113.051	112.518	111.967	111.409	110.85	110.304	109.816	109.327
